Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,Original Gas In Place,0.5049981
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,Field recovery factor,39
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,Technical recoverable resources,7.6024
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,2P Reserves,7.6039
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,Discovered Resources,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Commercial,Production,0.3221918
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,Original Gas In Place,0.5049981
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,Field recovery factor,39
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,Technical recoverable resources,13.7986
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,2P Reserves,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,Discovered Resources,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,Uncertain,Production,
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,Original Gas In Place,0.2435079
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,Field recovery factor,20
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,Technical recoverable resources,0.0003
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,2P Reserves,0.0003
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,Discovered Resources,
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Commercial,Production,0
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,Original Gas In Place,0.2435079
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,Field recovery factor,20
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,2P Reserves,
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,Discovered Resources,
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,Uncertain,Production,
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,Original Gas In Place,6.064293
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,Field recovery factor,41
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,Technical recoverable resources,11.4153
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,2P Reserves,4.5344
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,Discovered Resources,
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Commercial,Production,0.5736986
Indonesia,Pertamina,"Corridor TAC, ID","Ramba, ID",1984,2035-09-16,Uncertain,Original Gas In Place,6.064293
