Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,Original Gas In Place,233.5365
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,Field recovery factor,47
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,Technical recoverable resources,22.6523
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,2P Reserves,18.7923
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,Discovered Resources,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Commercial,Production,9.21315
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,Original Gas In Place,233.5365
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,Field recovery factor,47
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,Technical recoverable resources,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,2P Reserves,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,Discovered Resources,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","F6, MY",1986,2050-12-31,Uncertain,Production,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,Original Gas In Place,109.7447
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,Field recovery factor,47
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,Technical recoverable resources,60.7826
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,2P Reserves,61.6226
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,Discovered Resources,
Malaysia,Shell,"MLNG Satu (MLNG I) PSC, MY","E8, MY",2006,2050-12-31,Commercial,Production,28.27918
