Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Uncertain,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya-Camago, PH",2001,2039-02-23,Uncertain,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,Original Gas In Place,40.03807
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,Field recovery factor,44
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,Technical recoverable resources,35.1069
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,2P Reserves,34.9805
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Commercial,Production,21.1726
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,Original Gas In Place,40.03807
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,Field recovery factor,44
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,Technical recoverable resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,2P Reserves,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,Discovered Resources,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","Malampaya Phase 2/3, PH",2014,2039-02-23,Uncertain,Production,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,Original Gas In Place,0
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,Field recovery factor,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,Technical recoverable resources,17.3324
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","SC 38 (PL), PH",2058,,Commercial,2P Reserves,
