Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Oil Price,250
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price,167.8
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-15,184.6121
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Oil Price-20,197.5349
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,FID Breakeven Gas Price,19.2
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price,12.92
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-15,14.20993
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Breakeven Gas Price-20,15.20462
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Development cost pr boe,120.3806
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Commercial,Economics Present Value,2.808
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-20,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-15,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-20,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Development cost pr boe,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,167.8,12.92,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Economics Present Value,-1.78814E-07
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Oil Price,127.6
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price,72.1
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-15,94.24258
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-20,122.5209
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Gas Price,16.4
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price,9.25
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-15,12.09004
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-20,15.71776
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Development cost pr boe,24.68545
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,72.1,9.25,Below 0%,Above 30 years,PSC,Uncommercial,Economics Present Value,113.0554
