Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial,Breakeven Gas Price,9.3
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial,Breakeven Gas Price-15,12.17075
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial,Breakeven Gas Price-20,15.29095
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial,Development cost pr boe,22.565
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial,Economics Present Value,798.2831
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Oil Price,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Oil Price-20,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,FID Breakeven Gas Price,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Gas Price,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Gas Price-15,
Philippines,Prime Exploration Pte. Ltd,"SC 38 Malampaya-Camago, PH","San Martin, PH",2032,2039-02-23,85.3,9.3,Below 0%,9,PSC,Uncommercial disregarded,Breakeven Gas Price-20,
