Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,FID Breakeven Oil Price,250
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Oil Price,137.7
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Oil Price-15,151.5196
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Oil Price-20,162.1259
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,FID Breakeven Gas Price,29.2
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Gas Price,16.1
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Gas Price-15,17.71008
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Breakeven Gas Price-20,18.94979
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Development cost pr boe,62.46643
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial,Economics Present Value,36.8429
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial disregarded,Breakeven Oil Price,
Indonesia,TotalEnergies,"Apar, ID","Apar, ID",2053,,137.7,16.1,Below 0%,10,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
