Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Commercial,Discovered Resources,
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Commercial,Production,
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,Original Gas In Place,174.3614
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,Field recovery factor,43
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,Technical recoverable resources,
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,2P Reserves,
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,Discovered Resources,
Vietnam,Eni,"Block 114, VN","Ken Bau, VN",2034,,Uncertain,Production,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,Original Gas In Place,0
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,Field recovery factor,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,Technical recoverable resources,18.3269
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,2P Reserves,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,Discovered Resources,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Commercial,Production,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,Original Gas In Place,0
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,Field recovery factor,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,Technical recoverable resources,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,2P Reserves,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,Discovered Resources,
Vietnam,Eni,"Block 114, VN","Block 114, VN",2046,,Uncertain,Production,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,Original Gas In Place,0
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,Field recovery factor,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,Technical recoverable resources,28.4018
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,2P Reserves,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,Discovered Resources,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Commercial,Production,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,Original Gas In Place,0
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,Field recovery factor,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,Technical recoverable resources,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,2P Reserves,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,Discovered Resources,
Vietnam,Eni,"Block 122, VN","Block 122 (reawarded), VN",2054,,Uncertain,Production,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,Original Gas In Place,0
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,Field recovery factor,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,Technical recoverable resources,1.0781
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,2P Reserves,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,Discovered Resources,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Commercial,Production,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,Original Gas In Place,0
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,Field recovery factor,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,Technical recoverable resources,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,2P Reserves,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,Discovered Resources,
Vietnam,Eni,"Block 116, VN","Block 116 (EL), VN",2060,,Uncertain,Production,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,Original Gas In Place,0
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,Field recovery factor,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,Technical recoverable resources,0.5681
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,2P Reserves,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,Discovered Resources,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Commercial,Production,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,Original Gas In Place,0
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,Field recovery factor,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,Technical recoverable resources,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,2P Reserves,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,Discovered Resources,
Vietnam,Eni,"Block 115/09, VN","Block 115/09, VN",2045,,Uncertain,Production,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,Original Gas In Place,0
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,Field recovery factor,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,Technical recoverable resources,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,2P Reserves,
Vietnam,Other liquids,,"Other liquids, VN",2009,,Commercial,Discovered Resources,
