Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,FID Breakeven Oil Price,45.9
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Oil Price,42.57844
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Oil Price-15,46.48646
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Oil Price-20,47.8394
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,FID Breakeven Gas Price,0.2
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Gas Price,0.2
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Gas Price-15,0
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Breakeven Gas Price-20,0
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Development cost pr boe,6.186016
Indonesia,Pertamina,"Cepu Block (ex TAC), ID","Nglobo, ID",1989,2035-09-16,42.6,0.2,6,18,PSC,Commercial,Economics Present Value,22.0357
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,FID Breakeven Oil Price,17.6
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Oil Price,22.7497
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Oil Price-15,25.0013
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Oil Price-20,26.75139
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,FID Breakeven Gas Price,1.7
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Gas Price,2.005862
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Gas Price-15,0
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Breakeven Gas Price-20,0
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Development cost pr boe,2.377833
Indonesia,Pertamina,"Corridor TAC, ID","Bentayan, ID",1985,2035-09-16,22.8,2.01,10,10,PSC,Commercial,Economics Present Value,247.8444
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,FID Breakeven Oil Price,5
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Oil Price,23.41981
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Oil Price-15,26.85284
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Oil Price-20,29.73016
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,FID Breakeven Gas Price,0.6
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Gas Price,2.034802
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Gas Price-15,2.337094
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Breakeven Gas Price-20,2.587517
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Development cost pr boe,0.09518313
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Commercial,Economics Present Value,216.2648
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,FID Breakeven Oil Price,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Oil Price,25.9
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Oil Price-15,28.58386
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Oil Price-20,30.58473
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,FID Breakeven Gas Price,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Gas Price,2.25
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Gas Price-15,2.487751
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Breakeven Gas Price-20,2.661893
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Development cost pr boe,
Indonesia,Pertamina,"Corridor TAC, ID","Mangunjaya, ID",1977,2035-09-16,25,2.17,Above 40%,6,PSC,Uncertain,Economics Present Value,74.26
Indonesia,Pertamina,"Corridor TAC, ID","Panerokan, ID",1980,2035-09-16,,,Above 40%,2,PSC,Commercial,FID Breakeven Oil Price,18
