Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Breakeven Oil Price,Breakeven Gas Price,Internal Rate Of Return,Payback Years,Fiscal Regime Group,Commerciality,[Data Values],Sum
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Oil Price,58.2
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price,45.09999
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-15,56.60514
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Oil Price-20,69.85501
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,FID Breakeven Gas Price,5.6
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price,4.32
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-15,5.426241
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Breakeven Gas Price-20,6.696391
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Development cost pr boe,8.565832
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial,Economics Present Value,284.1372
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Oil Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-15,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Oil Price-20,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,FID Breakeven Gas Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,45.1,4.32,Below 0%,Above 30 years,PSC,Uncommercial disregarded,Breakeven Gas Price-15,
