Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,Field recovery factor,42
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,Technical recoverable resources,264.6878
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,2P Reserves,264.6892
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Commercial,Production,159.1926
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,Field recovery factor,42
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip (FFD), ID",2015,2035-09-16,Uncertain,Production,
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,Field recovery factor,28
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,Technical recoverable resources,7.9339
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,2P Reserves,7.9337
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Commercial,Production,6.13863
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,Field recovery factor,28
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Kedung Keris, ID",2019,2035-09-16,Uncertain,Production,
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,Original Gas In Place,11.12381
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,Field recovery factor,49
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Commercial,Production,
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Uncertain,Original Gas In Place,11.12381
Indonesia,ExxonMobil,"Cepu Block (ex Cepu TAC), ID","Giyanti, ID",2034,2035-09-16,Uncertain,Field recovery factor,49
