Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,Original Gas In Place,9.538937
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,Field recovery factor,50
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Commercial,Production,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,Original Gas In Place,9.538937
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,Field recovery factor,50
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Cendana, ID",2038,2035-09-16,Uncertain,Production,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,Original Gas In Place,4.769322
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,Field recovery factor,50
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Commercial,Production,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Uncertain,Original Gas In Place,4.769322
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Uncertain,Field recovery factor,50
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Uncertain,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Alas Tua West, ID",2043,2035-09-16,Uncertain,Discovered Resources,
