Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,Field recovery factor,28
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,Technical recoverable resources,0.2512
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,2P Reserves,0.2512
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Commercial,Production,0.6887676
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,Original Gas In Place,0
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,Field recovery factor,28
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,Technical recoverable resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,2P Reserves,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,Discovered Resources,
Indonesia,ExxonMobil,"Cepu Block, ID","Banyu Urip pilot (Cepu), ID",2008,2035-09-16,Uncertain,Production,
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,Original Gas In Place,439.977
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,Field recovery factor,49
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,Technical recoverable resources,471.5228
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,2P Reserves,471.5228
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,Discovered Resources,
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Commercial,Production,181.835
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,Original Gas In Place,439.977
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,Field recovery factor,49
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,Technical recoverable resources,
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,2P Reserves,
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,Discovered Resources,
Indonesia,BP,"Tangguh Unit, ID","Vorwata, ID",2009,2055-12-31,Uncertain,Production,
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,Original Gas In Place,531.5438
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,Field recovery factor,50
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,Technical recoverable resources,0
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,2P Reserves,-6.10352E-05
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,Discovered Resources,
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Commercial,Production,0
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,Original Gas In Place,531.5438
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,Field recovery factor,50
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,Technical recoverable resources,
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,2P Reserves,
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,Discovered Resources,
Indonesia,BP,"Tangguh Block, ID","Tangguh LNG T1-T2, ID",2009,,Uncertain,Production,
Indonesia,Eni,"Makassar Strait Offshore Block, ID","Seno West, ID",2003,2027-12-03,Commercial,Original Gas In Place,10.33512
Indonesia,Eni,"Makassar Strait Offshore Block, ID","Seno West, ID",2003,2027-12-03,Commercial,Field recovery factor,34
