Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,Original Gas In Place,0
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,Field recovery factor,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,Technical recoverable resources,0.892
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Commercial,Production,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,Original Gas In Place,0
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,Field recovery factor,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,Technical recoverable resources,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,2P Reserves,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM302 PSC, MY","PM302 PSC, MY",2059,,Uncertain,Production,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,Original Gas In Place,7.948961
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,Field recovery factor,50
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,Technical recoverable resources,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,2P Reserves,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,Discovered Resources,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Commercial,Production,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,Original Gas In Place,7.948961
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,Field recovery factor,50
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,Technical recoverable resources,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,2P Reserves,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM301 PSC, MY","Suriya Selatan, MY",2053,2033-12-31,Uncertain,Production,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,Original Gas In Place,0
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,Field recovery factor,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,Technical recoverable resources,0.788
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,2P Reserves,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,Discovered Resources,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Commercial,Production,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,Original Gas In Place,0
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,Field recovery factor,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,Technical recoverable resources,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,2P Reserves,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,Discovered Resources,
Malaysia,Chevron,"PM301 PSC, MY","PM301 PSC, MY",2060,,Uncertain,Production,
