Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bulan, TA",2008,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bulan, TA",2008,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,Original Gas In Place,120.1667
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,Field recovery factor,48
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,Technical recoverable resources,108.2316
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,2P Reserves,108.2726
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Commercial,Production,49.06877
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,Original Gas In Place,120.1667
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,Field recovery factor,48
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi, TA",2008,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,Original Gas In Place,19.07781
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,Field recovery factor,46
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,Original Gas In Place,19.07781
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,Field recovery factor,46
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Senja, TA",2040,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,Original Gas In Place,3.777377
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,Technical recoverable resources,11.8826
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,2P Reserves,11.8786
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,Original Gas In Place,3.777377
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Bumi East, TA",2029,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,Original Gas In Place,38.1556
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,Original Gas In Place,38.1556
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra, TA",2040,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,Original Gas In Place,4.769445
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,Field recovery factor,44
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,Original Gas In Place,4.769445
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,Field recovery factor,44
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Wira, TA",2038,2029-04-20,Uncertain,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,Original Gas In Place,2.83148
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,Technical recoverable resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,2P Reserves,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,Discovered Resources,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Commercial,Production,
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,Original Gas In Place,2.83148
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,Field recovery factor,50
Malaysia/Thailand JDA,Carigali-Hess Operating Company Sdn Bhd,"Block A-18, TA","Samudra North, TA",2041,2029-04-20,Uncertain,Technical recoverable resources,
